Date,IT Dep.,CostElement,Country,Budget,Forecast
1/02/2020,Administration,Employee Performance,USA,87,27
1/03/2020,Administration,Employee Performance,USA,87,150
1/04/2020,Administration,Employee Performance,USA,87,182
1/05/2020,Administration,Employee Performance,USA,87,"14,265"
1/06/2020,Administration,Employee Performance,USA,87,383
1/07/2020,Administration,Employee Performance,USA,87,87
1/08/2020,Administration,Employee Performance,USA,87,87
1/09/2020,Administration,Employee Performance,USA,87,87
1/10/2020,Administration,Employee Performance,USA,87,87
1/11/2020,Administration,Employee Performance,USA,87,87
1/12/2020,Administration,Employee Performance,USA,87,87
1/01/2020,Administration,External Labor,USA,"15,300","24,376"
1/02/2020,Administration,External Labor,USA,"15,300","1,205"
1/03/2020,Administration,External Labor,USA,"15,300","96,906"
1/04/2020,Administration,External Labor,USA,"21,900","31,261"
1/05/2020,Administration,External Labor,USA,"21,300","13,056"
1/06/2020,Administration,External Labor,USA,"21,300","23,936"
1/07/2020,Administration,External Labor,USA,"114,300","60,450"
1/08/2020,Administration,External Labor,USA,"114,300","108,000"
1/09/2020,Administration,External Labor,USA,"114,300","108,000"
1/10/2020,Administration,External Labor,USA,"120,330","114,030"
1/11/2020,Administration,External Labor,USA,"144,300","138,000"
1/12/2020,Administration,External Labor,USA,"144,300","138,000"
1/01/2020,Administration,Hardware Maintenance,USA,135,"5,345"
1/02/2020,Administration,Hardware Maintenance,USA,135,"-5,345"
1/04/2020,Administration,Hardware Maintenance,USA,135,"86,480"
1/07/2020,Administration,Hardware Maintenance,USA,135,135
1/08/2020,Administration,Hardware Maintenance,USA,135,135
1/09/2020,Administration,Hardware Maintenance,USA,135,135
1/10/2020,Administration,Hardware Maintenance,USA,135,135
1/11/2020,Administration,Hardware Maintenance,USA,135,135
1/12/2020,Administration,Hardware Maintenance,USA,135,135
1/01/2020,Administration,Internal Labor,United Kingdom,"-16,369","21,365"
1/02/2020,Administration,Internal Labor,United Kingdom,"-16,369","23,189"
1/03/2020,Administration,Internal Labor,United Kingdom,"-16,369","21,311"
1/04/2020,Administration,Internal Labor,United Kingdom,"-16,369","22,211"
1/05/2020,Administration,Internal Labor,United Kingdom,"-16,369","23,114"
1/06/2020,Administration,Internal Labor,United Kingdom,"-16,369","22,775"
